iso3,year,indicator,domain,direction,value,z
AUS,1994,work_hours,Work,down,1745.08,-0.051984016089212486
AUS,1994,unemployment,Work,down,9.724,-0.7562818641895713
AUS,1994,employment,Work,up,56.943,-0.08435355743022045
AUS,1994,pm25,Environment,down,6.29647589976666,1.2672392648862763
AUS,1994,co2_pc,Environment,down,16.405329,-1.8854689173873997
AUS,1994,renewable,Environment,up,1.671576,-0.5675042045632718
AUS,1994,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1994,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1994,adolescent_fert,Wellbeing,down,20.965,-0.8566431228829557
AUS,1995,gdp_pc,Material,up,38653.3366778657,-0.5706759400817406
AUS,1995,household_cons,Material,up,20767.2631481743,0.18303462295872705
AUS,1995,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1995,life_expectancy,Health,up,77.8292682926829,-0.3719785638106434
AUS,1995,infant_mort,Health,down,5.7,-0.5107290236326437
AUS,1995,maternal_mort,Health,down,9.0,0.02750087169323033
AUS,1995,child_mort,Health,down,7.0,-0.530186310032766
AUS,1995,schooling,Knowledge,up,11.51,0.02876724164756123
AUS,1995,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1995,internet_users,Knowledge,up,2.76,-1.4279173288793288
AUS,1995,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1995,homicides,Safety,down,1.96735685247661,-0.07377013695862925
AUS,1995,suicide,Safety,down,12.83,0.3700532449141532
AUS,1995,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1995,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1995,gini,Equality,down,32.6,-0.23587674775231554
AUS,1995,gdi,Equality,up,0.964,-0.540999142628118
AUS,1995,top_10_income,Equality,down,24.6,0.04962956670422328
AUS,1995,vdem_libdem,Freedom,up,0.848,0.6211539806835806
AUS,1995,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1995,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1995,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,1995,work_hours,Work,down,1746.31,-0.05660615397749092
AUS,1995,unemployment,Work,down,8.473,-0.42204177309246976
AUS,1995,employment,Work,up,58.283,0.12700825341236072
AUS,1995,pm25,Environment,down,6.12708668112411,1.2923553347062875
AUS,1995,co2_pc,Environment,down,16.853085,-2.0052419155428223
AUS,1995,renewable,Environment,up,1.6164072,-0.5710274867014361
AUS,1995,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1995,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1995,adolescent_fert,Wellbeing,down,20.453,-0.8060679213343784
AUS,1996,gdp_pc,Material,up,39663.1617728168,-0.5114608140240573
AUS,1996,household_cons,Material,up,21210.5662063346,0.23466858713580616
AUS,1996,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1996,life_expectancy,Health,up,78.0780487804878,-0.29480104552364933
AUS,1996,infant_mort,Health,down,5.6,-0.4661058563695858
AUS,1996,maternal_mort,Health,down,8.0,0.1975062603422902
AUS,1996,child_mort,Health,down,6.8,-0.4569085273453104
AUS,1996,schooling,Knowledge,up,11.482,0.006376319532932533
AUS,1996,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1996,internet_users,Knowledge,up,3.28,-1.4132751604686966
AUS,1996,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1996,homicides,Safety,down,1.93386535571719,-0.058815001236544685
AUS,1996,suicide,Safety,down,12.83,0.3700532449141532
AUS,1996,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1996,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1996,gini,Equality,down,32.75,-0.27031927253147736
AUS,1996,gdi,Equality,up,0.965,-0.4973366105309317
AUS,1996,top_10_income,Equality,down,24.683333333333334,0.01750263570939858
AUS,1996,vdem_libdem,Freedom,up,0.849,0.6283029321952242
AUS,1996,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1996,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1996,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,1996,work_hours,Work,down,1748.8,-0.0659631648244935
AUS,1996,unemployment,Work,down,8.509,-0.431660192980156
AUS,1996,employment,Work,up,58.233,0.11912161867942792
AUS,1996,pm25,Environment,down,6.24274679044039,1.2752059115950807
AUS,1996,co2_pc,Environment,down,17.036093,-2.05419584769879
AUS,1996,renewable,Environment,up,1.631346,-0.5700734400807806
AUS,1996,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1996,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1996,adolescent_fert,Wellbeing,down,20.163,-0.7774218110822547
AUS,1997,gdp_pc,Material,up,40773.5660516518,-0.44634782596805195
AUS,1997,household_cons,Material,up,21584.8016588262,0.2782578644756368
AUS,1997,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1997,life_expectancy,Health,up,78.4804878048781,-0.16995506005939473
AUS,1997,infant_mort,Health,down,5.4,-0.3768595218434707
AUS,1997,maternal_mort,Health,down,8.0,0.1975062603422902
AUS,1997,child_mort,Health,down,6.6,-0.3836307446578549
AUS,1997,schooling,Knowledge,up,11.453999999999999,-0.016014602581696163
AUS,1997,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1997,internet_users,Knowledge,up,16.4,-1.043841988261981
AUS,1997,research_dev,Knowledge,up,1.587845,-0.4371285263547462
AUS,1997,homicides,Safety,down,1.96704523731198,-0.07363098978603262
AUS,1997,suicide,Safety,down,12.83,0.3700532449141532
AUS,1997,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1997,political_stability,Safety,up,1.41779305,0.9867140844755199
AUS,1997,gini,Equality,down,32.9,-0.3047617973106392
AUS,1997,gdi,Equality,up,0.965,-0.4973366105309317
AUS,1997,top_10_income,Equality,down,24.76666666666667,-0.014624295285427488
AUS,1997,vdem_libdem,Freedom,up,0.841,0.5711113201020761
AUS,1997,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1997,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1997,civil_liberties,Freedom,up,0.95,0.34711340616523484
AUS,1997,work_hours,Work,down,1746.24,-0.056343105479784265
AUS,1997,unemployment,Work,down,8.367,-0.39372087008983764
AUS,1997,employment,Work,up,57.967,0.07716472190022935
AUS,1997,pm25,Environment,down,6.21588223577726,1.279189234949482
AUS,1997,co2_pc,Environment,down,17.305813,-2.1263449044673877
AUS,1997,renewable,Environment,up,1.6032494,-0.5718677921225715
AUS,1997,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1997,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1997,adolescent_fert,Wellbeing,down,19.62,-0.7237844391274161
AUS,1998,gdp_pc,Material,up,42257.1718122395,-0.3593506790637551
AUS,1998,household_cons,Material,up,22466.4717151351,0.38095086256227656
AUS,1998,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1998,life_expectancy,Health,up,78.6317073170732,-0.12304323521829365
AUS,1998,infant_mort,Health,down,5.3,-0.3322363545804128
AUS,1998,maternal_mort,Health,down,7.0,0.3675116489913501
AUS,1998,child_mort,Health,down,6.4,-0.31035296197039974
AUS,1998,schooling,Knowledge,up,11.426,-0.03840552469632344
AUS,1998,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1998,internet_users,Knowledge,up,30.8,-0.6383665553521708
AUS,1998,research_dev,Knowledge,up,1.51351,-0.5167692813303317
AUS,1998,homicides,Safety,down,1.78593227563009,0.0072423418072931215
AUS,1998,suicide,Safety,down,12.83,0.3700532449141532
AUS,1998,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1998,political_stability,Safety,up,1.3318201,0.8152659854239328
AUS,1998,gini,Equality,down,33.05,-0.339204322089801
AUS,1998,gdi,Equality,up,0.966,-0.4536740784337454
AUS,1998,top_10_income,Equality,down,24.85,-0.04675122628025218
AUS,1998,vdem_libdem,Freedom,up,0.841,0.5711113201020761
AUS,1998,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1998,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1998,civil_liberties,Freedom,up,0.95,0.34711340616523484
AUS,1998,work_hours,Work,down,1735.3,-0.015232383123877286
AUS,1998,unemployment,Work,down,7.684,-0.21123807055400978
AUS,1998,employment,Work,up,58.281,0.12669278802304304
AUS,1998,pm25,Environment,down,6.18901768111413,1.2831725583038835
AUS,1998,co2_pc,Environment,down,17.861351,-2.2749491707402387
AUS,1998,renewable,Environment,up,1.5740943,-0.5737297438609887
AUS,1998,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1998,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1998,adolescent_fert,Wellbeing,down,18.847,-0.6474277383519275
AUS,1999,gdp_pc,Material,up,43899.073794405,-0.263071201227053
AUS,1999,household_cons,Material,up,23458.0512353738,0.49644562508254053
AUS,1999,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1999,life_expectancy,Health,up,78.9317073170732,-0.029976227872220085
AUS,1999,infant_mort,Health,down,5.2,-0.28761318731735525
AUS,1999,maternal_mort,Health,down,7.0,0.3675116489913501
AUS,1999,child_mort,Health,down,6.3,-0.2737140706266718
AUS,1999,schooling,Knowledge,up,11.398,-0.060796446810952136
AUS,1999,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1999,internet_users,Knowledge,up,40.8,-0.35678639360924735
AUS,1999,research_dev,Knowledge,up,1.542745,-0.4854475960984591
AUS,1999,homicides,Safety,down,2.03596185527632,-0.10440469281182727
AUS,1999,suicide,Safety,down,12.83,0.3700532449141532
AUS,1999,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1999,political_stability,Safety,up,1.3802268500000001,0.9117992004498849
AUS,1999,gini,Equality,down,33.2,-0.37364684686896443
AUS,1999,gdi,Equality,up,0.966,-0.4536740784337454
AUS,1999,top_10_income,Equality,down,24.933333333333334,-0.07887815727507688
AUS,1999,vdem_libdem,Freedom,up,0.842,0.5782602716137195
AUS,1999,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1999,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1999,civil_liberties,Freedom,up,0.949,0.32914921245964374
AUS,1999,work_hours,Work,down,1723.86,0.027757257072793258
AUS,1999,unemployment,Work,down,6.876,0.004642020258506708
AUS,1999,employment,Work,up,58.582,0.17417032911529465
AUS,1999,pm25,Environment,down,6.16215312645099,1.2871558816582864
AUS,1999,co2_pc,Environment,down,18.184906,-2.3614988817841507
AUS,1999,renewable,Environment,up,1.5650432,-0.5743077803410416
AUS,1999,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1999,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1999,adolescent_fert,Wellbeing,down,18.393,-0.602581758853775
AUS,2000,gdp_pc,Material,up,45099.0752097084,-0.1927043273675455
AUS,2000,household_cons,Material,up,24164.2876875015,0.578704898955005
AUS,2000,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,2000,life_expectancy,Health,up,79.2341463414634,0.06384742180998207
AUS,2000,infant_mort,Health,down,5.1,-0.24299002005429732
AUS,2000,maternal_mort,Health,down,7.0,0.3675116489913501
AUS,2000,child_mort,Health,down,6.2,-0.23707517928294422
AUS,2000,schooling,Knowledge,up,11.37,-0.08318736892558083
AUS,2000,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,2000,internet_users,Knowledge,up,46.7561156116738,-0.1890739938797812
AUS,2000,research_dev,Knowledge,up,1.57198,-0.4541259108665867
AUS,2000,homicides,Safety,down,1.89207133777963,-0.0401524966874864
AUS,2000,suicide,Safety,down,12.83,0.3700532449141532
AUS,2000,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,2000,political_stability,Safety,up,1.4286336,1.0083324154758366
AUS,2000,gini,Equality,down,33.35,-0.40808937164812625
AUS,2000,gdi,Equality,up,0.967,-0.4100115463365591
AUS,2000,top_10_income,Equality,down,25.01666666666667,-0.11100508826990295
AUS,2000,vdem_libdem,Freedom,up,0.847,0.6140050291719371
AUS,2000,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,2000,corruption,Freedom,up,85.0,0.9530396643695714
AUS,2000,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,2000,work_hours,Work,down,1738.5,-0.027257457304764265
AUS,2000,unemployment,Work,down,6.288,0.16174287842405094
AUS,2000,employment,Work,up,59.303,0.2878956019641752
AUS,2000,pm25,Environment,down,6.20655090377755,1.280572831779886
AUS,2000,co2_pc,Environment,down,18.288157,-2.3891181249267226
AUS,2000,renewable,Environment,up,1.5200112,-0.577183689210653
AUS,2000,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,2000,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,2000,adolescent_fert,Wellbeing,down,17.795,-0.5435115039200853
AUS,2001,gdp_pc,Material,up,45428.2000837579,-0.17340477638292232
AUS,2001,household_cons,Material,up,24649.3136044785,0.6351985557460879
AUS,2001,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,2001,life_expectancy,Health,up,79.6341463414634,0.18793676493807723
AUS,2001,infant_mort,Health,down,5.0,-0.19836685279123978
AUS,2001,maternal_mort,Health,down,6.0,0.53751703764041
AUS,2001,child_mort,Health,down,6.1,-0.2004362879392163
AUS,2001,schooling,Knowledge,up,11.437999999999999,-0.028809415218626643
AUS,2001,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,2001,internet_users,Knowledge,up,52.6892664310395,-0.022008237143565836
AUS,2001,research_dev,Knowledge,up,1.65926,-0.36061619008540546
AUS,2001,homicides,Safety,down,1.79185252403083,0.004598741881690514
AUS,2001,suicide,Safety,down,13.04,0.34223967190051835
AUS,2001,road_deaths,Safety,down,9.3,-0.0194092623471871
AUS,2001,political_stability,Safety,up,1.26207575,0.6761811194621555
AUS,2001,gini,Equality,down,33.5,-0.4425318964272881
AUS,2001,gdi,Equality,up,0.958,-0.8029743352112358
AUS,2001,top_10_income,Equality,down,25.1,-0.14313201926472766
AUS,2001,vdem_libdem,Freedom,up,0.844,0.5925581746370066
AUS,2001,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,2001,corruption,Freedom,up,85.0,0.9530396643695714
AUS,2001,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,2001,work_hours,Work,down,1716.04,0.05714353210233515
AUS,2001,unemployment,Work,down,6.747,0.03910802485604969
AUS,2001,employment,Work,up,59.164,0.26597075740662457
AUS,2001,pm25,Environment,down,6.15501576616747,1.2882141688423707
AUS,2001,co2_pc,Environment,down,18.469387,-2.437596448959694
AUS,2001,renewable,Environment,up,1.471251,-0.5802976946215611
AUS,2001,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,2001,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,2001,adolescent_fert,Wellbeing,down,17.62,-0.5262250580782863
AUS,2002,gdp_pc,Material,up,46688.3947760633,-0.09950822941138836
AUS,2002,household_cons,Material,up,25083.3209163174,0.6857497928277345
AUS,2002,broadband,Material,up,1.31714888553946,-1.0739598964187973
AUS,2002,life_expectancy,Health,up,79.9365853658537,0.28176041462031026
AUS,2002,infant_mort,Health,down,4.9,-0.15374368552818224
AUS,2002,maternal_mort,Health,down,6.0,0.53751703764041
AUS,2002,child_mort,Health,down,6.0,-0.1637973965954887
AUS,2002,schooling,Knowledge,up,11.506,0.025568538488328966
AUS,2002,tertiary_attain,Knowledge,up,19.9812871288106,-0.5690967151960903
AUS,2002,internet_users,Knowledge,up,55.266949823279624,0.05057421350733641
AUS,2002,research_dev,Knowledge,up,1.74654,-0.26710646930422427
AUS,2002,homicides,Safety,down,1.86778958584828,-0.029309837181646554
AUS,2002,suicide,Safety,down,12.15,0.4601162432440188
AUS,2002,road_deaths,Safety,down,9.1,0.019738232895444855
